last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Bauer, Trevor,545333,2021,0.385,90.3,19.2,42.4,18.7,34.1,35.3,2784
Bard, Daniel,453268,2021,0.357,88.6,12.7,39.8,22.6,42.5,22.1,2731
Maples, Dillon,596027,2021,0.298,86.9,5.3,42.4,17.3,51.5,18.2,2658
Nelson, Jimmy,519076,2021,0.199,84.5,20.7,30.9,25.9,38.2,27.3,2613
Stratton, Chris,608717,2021,0.377,89,13.5,36.9,16.6,41.9,28.1,2610
Burnes, Corbin,669203,2021,0.256,85.5,8.4,30.5,22.1,50.1,22.2,2605
Musgrove, Joe,605397,2021,0.387,87.8,11.6,38.5,17.9,45,26.8,2600
Sheffield, Jordan,642068,2021,0.347,88.6,13.9,38.3,16.2,44.4,28.4,2590
Kopech, Michael,656629,2021,0.332,88.3,18.6,35.7,27.1,39.5,27.4,2585
Scott, Tanner,656945,2021,0.359,90.1,5.3,35.5,20.3,52.9,14.5,2582
Sims, Lucas,608371,2021,0.296,86.5,20.4,35.1,24.5,28.9,30.9,2581
Adams, Austin,613534,2021,0.263,85.7,20.1,24.5,20.5,35.8,34,2571
Pressly, Ryan,519151,2021,0.326,90.2,6.6,40.4,19,55.8,17.3,2561
Luetge, Lucas,476595,2021,0.358,86.6,15.2,31.4,18.9,42.6,26.5,2556
Kittredge, Andrew,552640,2021,0.355,88.9,5,37.4,19.1,54.5,21.9,2552
Winkler, Dan,595465,2021,0.334,84.6,12.6,25.2,23.3,45,24.3,2551
Doval, Camilo,666808,2021,0.332,87.5,9.6,33.9,17.6,50,25.8,2550
Clase, Emmanuel,661403,2021,0.27,86.4,-0.2,29.6,20.7,68.3,12.7,2546
Minor, Mike,501985,2021,0.449,88.5,16.5,35.9,18,39.2,27.2,2544
Cease, Dylan,656302,2021,0.364,89.2,18.5,38.8,26,34.6,31.4,2543
Garcia, Yimi,554340,2021,0.462,89.4,15.4,37.3,23.2,43,27.8,2531
Anderson, Shaun,641312,2021,0.438,90.6,19.2,44,19.5,41.8,26.4,2528
Givens, Mychal,571710,2021,0.39,85.5,15.2,27.1,24.2,36.8,22.6,2527
Helsley, Ryan,664854,2021,0.414,90.9,12.5,43.2,17.6,42.4,22,2526
Stephenson, Robert,596112,2021,0.392,89.1,15.4,36.8,19.4,39.2,31.2,2521
Bender, Anthony,669622,2021,0.311,88.2,6.6,34,15.6,50,18,2521
Pagan, Emilio,641941,2021,0.492,90.4,26.5,45.4,24.1,23,42.5,2520
Darvish, Yu,506433,2021,0.376,88.2,16.6,34.9,19.5,37.9,30.5,2514
Pomeranz, Drew,519141,2021,0.353,89.6,7.4,38.7,23.1,45.2,19.4,2507
Kershaw, Clayton,477132,2021,0.373,88.1,9.8,37.3,22.6,50.5,22.9,2506
Green, Chad,643338,2021,0.399,89.1,24.9,43.7,26.2,27.6,33.7,2501
Suero, Wander,593833,2021,0.492,89,18.9,43.3,21.8,33.1,26.8,2499
Urias, Julio,628711,2021,0.361,86,15.5,30.3,18.7,42.4,28.9,2499
Turnbull, Spencer,605513,2021,0.322,88.2,6.2,33.6,16.5,58.6,14.3,2497
Jimenez, Joe,641729,2021,0.324,89.2,22.6,33.6,22.4,35.5,34.5,2494
Steele, Justin,657006,2021,0.369,87.9,8.3,35,20,52.2,23.6,2494
Feyereisen, J.P.,656420,2021,0.363,89,19.4,39.9,26.2,38.5,33.8,2491
Bundy, Dylan,605164,2021,0.454,89.2,14.9,38.5,14.3,41.4,30.8,2489
Maton III, Phil,664208,2021,0.342,88,12.9,32.8,24.8,39.7,28.2,2487
Castro, Anthony,621593,2021,0.386,89.8,13.9,47,19,50,19.7,2486
German, Domingo,593334,2021,0.421,89.4,14.7,39.2,21.2,43.1,30,2482
Saucedo, Tayler,642048,2021,0.379,87.9,3.4,35.9,14.5,59,10.3,2476
Campbell, Paul,669294,2021,0.486,88.9,14.2,34.9,19.3,44.2,26.7,2475
Buehler, Walker,621111,2021,0.345,88.2,11.1,37.1,17.4,46.2,25.1,2472
Richards, Garrett,572070,2021,0.465,91.1,10.6,47.8,14.1,47.6,21.1,2468
Hoffman, Jeff,656546,2021,0.394,89,15.4,39.8,20,38.3,27.2,2467
Evans, Demarcus,663770,2021,0.325,89.5,27.6,30,19.5,20,41.4,2467
Armstrong, Shawn,542888,2021,0.481,90.6,19.4,44.2,24.4,31.7,29.8,2460
Weaver, Luke,596133,2021,0.452,90.1,14.5,41.4,19.7,39.3,29.3,2457
Cole, Gerrit,543037,2021,0.369,88.7,12.5,38.6,24.7,42.7,28.2,2452
Hembree, Heath,592390,2021,0.349,89.2,23.4,41,20.4,27.6,33.6,2452
Gil, Luis,661563,2021,0.352,89.8,23,39.4,23,32.4,33.8,2445
Sewald, Paul,623149,2021,0.36,88.3,21.1,40,29.4,26.7,36.3,2444
Heaney, Andrew,571760,2021,0.431,89.3,18.5,40.8,22,34.3,33,2443
Marshall, Evan,605359,2021,0.365,87.3,12.9,33.3,17.5,42.3,24.4,2442
Gant, John,607231,2021,0.395,89.9,10.1,38.5,17.1,49.1,23,2442
Ottavino, Adam,493603,2021,0.317,86.1,11.8,30.1,18.5,41.7,28.8,2438
Rodriguez, Richard,593144,2021,0.473,91.5,22.9,44.2,14.6,31,41.1,2438
Rasmussen, Drew,656876,2021,0.367,91.4,8.8,50.2,19.8,48.3,22,2437
Scherzer, Max,453286,2021,0.355,87.9,19.3,34.3,25.9,35,32.4,2436
Matzek, Tyler,554431,2021,0.284,89.7,15.8,37.8,23.4,41.9,22.3,2435
Muller, Kyle,666205,2021,0.351,91.1,16,42.7,20.9,40.6,25,2435
De Jong, Chase,608328,2021,0.561,91.1,17.1,46.7,13.8,31.4,35,2434
Payamps, Joel,606303,2021,0.337,86.3,13.9,30.3,21.3,45.4,26.3,2433
